cookTime,datePublished,description,image,ingredients,name,prepTime,recipeYield,url,difficulty
10M,2012-05-31,"When I was in Albuquerque with Marlboro Man and the boys a month ago, I had a really fun book signing. Such incredibly nice a...",http://static.thepioneerwoman.com/cooking/files/2012/05/enchilada.jpg,"1 whole Onion, Diced
2 Tablespoons Butter
1 can (15 Ounce) Green Enchilada Sauce
2 cans (4 Ounce) Chopped Green Chilies
12 whole Corn Tortillas
2 cups Freshly Grated Cheddar (or Cheddar-jack) Cheese (or Any Cheese You'd Like)
 Sour Cream
 Salsa
 Pico De Gallo (optional)
 Guacamole (optional)
 Cilantro Leaves, Optional",Easy Green Chile Enchiladas,5M,4,http://thepioneerwoman.com/cooking/2012/05/easy-green-chile-enchiladas/,Easy
20M,2012-01-19,"I made these beautiful, tasty little suckers before Christmas and am only just now recovering from the bliss so I can tell yo...",http://static.thepioneerwoman.com/cooking/files/2012/01/scallops.jpg,"2 pounds Large Scallops
1/2 pound Bacon, Cut Into Thirds Or Halves
1 stick Butter
2 teaspoons Chili Powder
 Dash Of Cayenne",Bacon-Wrapped Scallops with Chili Butter,15M,8,http://thepioneerwoman.com/cooking/2012/01/bacon-wrapped-scallops-with-chili-butter/,Medium
3H,2012-01-30,"My oh my, was this good. Ultra spicy, seriously tender stewed meat served over unbelievably creamy cheese grits. The spicines...",http://static.thepioneerwoman.com/cooking/files/2012/01/stewedbeef.jpg,"2 Tablespoons Canola Oil
2 Tablespoons Butter
3 pounds Stew Meat Or Diced Chuck Roast
1 can (11 Ounces) Chipotle Peppers In Adobo Sauce
4 cups Low-sodium Beef Broth, More If Needed
5 cloves Minced Garlic
1 Tablespoon Cumin
2 teaspoons Chili Powder
1 whole Onion, Diced
1 whole Red Bell Pepper
3 whole Chilies (any Variety, Hot Or Mild)
4 cups Stone Ground Grits
6 cups Low Sodium Chicken (or Beef) Broth
3 cups Water
2 cups Half-and-half
2 cups Grated Cheddar Cheese",Spicy Stewed Beef with Creamy Cheddar Grits,20M,12,http://thepioneerwoman.com/cooking/2012/01/spicy-stewed-beef-with-creamy-cheddar-grits/,Hard
15M,2012-02-22,"Today is Ash Wednesday, the beginning of Lent, and I'd like to share this exceedingly meatless treat with you that I've been ...",http://static.thepioneerwoman.com/cooking/files/2012/02/wraps.jpg,"2 teaspoons Peanut Or Olive Oil
1 package (about 12-14 Oz. Size) Firm Tofu
2 ears Corn (or 1 1/2 Cups Frozen Corn Kernels)
1/4 teaspoon Chili Powder (more To Taste)
1/4 cup Soy Sauce
 Romaine Lettuce Hearts
2 whole Avocados, Sliced
1 teaspoon Balsamic Vinegar (optional)",Vegetarian Lettuce Wraps,5M,6,http://thepioneerwoman.com/cooking/2012/02/vegetarian-lettuce-wraps/,Easy
5M,2012-05-17,"Before I share my fourth and final grilling recipe, I’m busting at the seams to announce the winners of the Bush’s Grilli...",http://static.thepioneerwoman.com/cooking/files/2012/05/bushs41.jpg,"4 whole Ribeye, Hanger, Flat Iron, Or Strip Steaks
1/2 teaspoon Ground Nutmeg
1/2 teaspoon Ground Cumin
1 teaspoon Ground Cinnamon
1 teaspoon Ground Ginger
2 Tablespoons Chili Powder
1/2 teaspoon Ground Turmeric
2 Tablespoons Garlic Salt
1 cup Olive Oil
2 cans Bush's Grillin Beans Steakhouse Recipe",Grillin’ Recipe Contest Winners!,10M,4,http://thepioneerwoman.com/cooking/2012/05/grillin-recipe-contest-winners/,Easy
4H,2011-08-04,"My name is Pioneer Woman and I love beans.     Hi, Pioneer Woman.     Sorry. It's true, though. A big pot of brown beans simm...",http://static.thepioneerwoman.com/cooking/files/2011/08/6005198000_e154cac62e_o.jpg,"4 cups Dry Pinto Beans
1 whole Ham Hock
1 whole Onion, Diced
2 whole Red Bell Peppers, Diced
4 cloves Garlic, Minced
2 whole Jalapenos, Sliced
2 teaspoons Salt, More To Taste
2 teaspoons Chili Powder (optional)
2 teaspoons Black Pepper, More To Taste",Spicy Beans,5M,12,http://thepioneerwoman.com/cooking/2011/08/spicy-beans/,Hard
1H,2011-09-26,"We're submerged in football right now. There's no other way to put it. Marlboro Man is coaching my two boys' football team, M...",http://static.thepioneerwoman.com/cooking/files/2011/09/TPW_1850.jpg,"2 pounds Ground Chuck
3 cloves Garlic, Minced (optional)
1 can (12 To 14 Ounce) Tomato Sauce
1 can (10 Ounce) Ro-tel (diced Tomatoes And Chilies)
1/2 teaspoon Salt
1 teaspoon Ground Oregano
1 Tablespoon Ground Cumin
2 Tablespoons Chili Powder (more To Taste)
1 can (14-ounce) Kidney Beans, Drained And Rinsed
1 can (14-ounce) Pinto Beans, Drained And Rinsed
1/4 cup Masa (corn Flour) Or Regular Corn Meal
1/2 cup Warm Water
 Individual Bags Of Fritos
 Grated Sharp Cheddar Cheese
 Diced Red Onion (Optional)",Frito Chili Pie,5M,8,http://thepioneerwoman.com/cooking/2011/09/frito-chili-pie/,Hard
30M,2011-10-17,"While a few state fairs are happening right now, the one in my state (as is the case with many others) has drawn to a close. ...",http://static.thepioneerwoman.com/cooking/files/2011/10/caveman.jpg,"10 whole Turkey Legs
 BRINE:
4 quarts Water
1 cup Kosher Salt
1 cup Sugar
1 cup Brown Sugar
2 Tablespoons Seasoning Blend (I Used Montreal)
1 whole Bay Leaf
 Dry Rub
2 Tablespoons Chili Powder (less If You Don't Like Things Too Spicy!)
2 teaspoons Seasoning Blend (I Used Montreal)
2 teaspoons Paprika
2 teaspoons Onion Salt",Caveman Pops (aka Roasted Turkey Legs),6H,10,http://thepioneerwoman.com/cooking/2011/10/caveman-pops-aka-roasted-turkey-legs/,Hard
15M,2011-03-30,"I could eat beef stir fry every day of the week. I had a major hankering for it last night, and decided to throw together a v...",http://static.thepioneerwoman.com/cooking/files/2011/03/5572969276_8f4385a0e2_o.jpg,"1-1/2 pound Flank Steak, Sliced Very Thin Against The Grain
1/2 cup Low Sodium Soy Sauce
3 Tablespoons Sherry
2 Tablespoons Packed Brown Sugar
2 Tablespoons Cornstarch
1 Tablespoon Minced Fresh Ginger
2 cloves Garlic, Minced
1 teaspoon Red Chile Paste (or A Few Dashes Red Chile Oil)
2 Tablespoons Canola Oil
1 whole Medium Yellow Onion, Sliced
2 whole Red Bell Peppers, Cored And Sliced Into Rings
1 Tablespoon Diced Fresh Jalapeno (or 1 Teaspoon Dice Hot Pepper)
 Red Pepper Flakes, For Sprinkling
 Cilantro Leaves",Beef with Peppers,15M,8,http://thepioneerwoman.com/cooking/2011/03/beef-with-peppers/,Medium
10M,2011-05-12,At the salad supper I attended a couple of weeks ago--the one that gave birth to this chicken salad I made recently--four sal...,http://static.thepioneerwoman.com/cooking/files/2011/05/5712043212_092a8fe85d_o.jpg,"1 whole Sirloin Steak, 3/4 To 1 Pound
 Kosher Salt To Taste
3/4 cups Ponzo Or Regular Soy Sauce
3 Tablespoons Pure Sesame Oil
2 Tablespoons Olive Oil
2 Tablespoons Rice Wine Vinegar
1 teaspoon Hot Chili Oil (less If You Can't Handle Heat!)
2 cloves Garlic, Peeled And Minced Finely
2 teaspoons Minced Fresh Ginger
2 Tablespoons Packed Brown Sugar
1/2 cup Sliced Green Onion
8 ounces, weight Thin Noodles (I Used Thin Spaghetti)
 Cilantro Leaves",Beef Noodle Salad Bowls,10M,4,http://thepioneerwoman.com/cooking/2011/05/beef-noodle-salad-bowls/,Easy
